Departure city index,Arrival city index,Average delay per trip (minutes),Speed (km/h),Cost for 50km for every 1kg good ,Departure time
456,190,166.166313299029,624,1.99785370457917,17:15:34
7,52,156.806813739065,568,2.38650664307698,04:51:29
52,345,171.113319660665,630,2.3189962310861,16:06:26
93,512,86.1345278649139,564,1.43650255256688,21:55:54
97,274,204.816640193699,605,2.99407835788729,05:30:30
101,642,149.569481349896,568,1.01561973538525,07:47:07
608,144,238.753874988295,621,2.5728114598078,05:07:23
360,490,45.0777906202203,665,2.52171111900432,15:31:19
398,442,108.150884377828,605,1.70486452381275,06:18:43
203,78,168.439367083162,572,1.03434988520335,02:34:57
586,405,105.747669759627,637,1.36479231417227,02:18:06
512,591,70.9628800937372,607,2.89186273000808,19:57:16
147,84,193.716185602214,649,2.31706389752956,21:52:42
407,391,133.242082419436,641,2.11819396943997,22:13:40
543,597,48.9363514964729,625,2.48892386671924,05:18:20
412,617,70.6002891408789,649,1.56555880912694,01:09:48
233,270,69.1127031436113,623,2.36978179672168,21:39:05
135,424,186.620385103021,567,1.56614878188078,20:28:42
351,510,228.671178021384,589,2.37518243077975,04:30:44
269,119,224.968202714895,649,1.91220371833715,00:52:58
340,72,37.9072734340207,658,1.63990369332539,16:32:34
295,616,173.95874479024,625,2.38726893198973,17:01:23
105,69,107.813599847012,620,2.30409644509974,20:52:14
598,413,41.0188515059008,630,1.04529927632689,23:20:50
589,505,227.864166872736,566,2.24182178942176,23:16:45
135,202,237.3921831234,661,1.45965747911118,10:04:11
505,152,53.8198298466107,601,1.50950027055381,12:57:27
617,586,14.0150404037816,582,2.14422504462863,09:09:45
612,580,60.1266699268263,576,1.19023706842023,19:34:26
626,512,198.975874640991,648,1.07166700178671,20:22:07
570,304,73.5370046692933,669,2.71709941132897,20:33:42
405,274,49.9024753614467,591,2.6422213715412,19:51:04
291,442,200.691043838299,580,2.26997439495548,13:55:55
183,224,156.345144520976,664,2.77400201556185,13:56:37
183,620,47.0652242491205,618,2.27761117473811,03:23:27
565,483,226.763289289206,633,2.54287101942067,03:10:49
371,27,28.7572345469513,670,1.13465373013341,10:31:45
184,205,26.316895719461,576,1.90608818849396,15:11:41
144,196,191.550585599266,593,1.53182186285444,05:08:23
184,412,135.622267658246,598,2.14502103527572,09:44:58
371,184,113.838596570155,630,1.689364403937,18:30:43
541,543,165.069307877336,642,2.6984323758671,12:44:32
490,227,161.211186500983,596,2.70817983817767,06:53:37
447,346,68.1827977849214,656,2.51786156773942,00:43:50
206,196,194.242049134324,649,2.35931948245334,23:09:29
496,386,152.245500411989,627,1.40704269327055,08:20:36
27,147,193.819269201136,594,1.58656288674705,22:13:39
442,247,204.759123046016,607,1.9444068549419,01:27:32
186,274,38.4648171233555,634,2.75914862358029,20:10:36
144,355,6.25224671497411,654,2.20037718940141,19:52:36
7,52,46.9073259399412,643,1.50902530354333,23:12:19
206,621,171.760557489247,632,1.08627457572832,09:23:53
441,265,77.0860448328158,580,1.3180616429654,08:14:08
589,14,236.685990092061,602,1.84280146922052,04:44:18
621,291,220.223892294689,607,2.27601750327137,12:00:50
39,483,221.893547507341,595,2.66338812928605,04:07:56
483,608,207.951472889936,574,2.73395774970405,02:29:05
239,202,20.2614610106486,588,2.44675754434335,05:45:51
197,207,76.9391668190109,576,1.18678920209742,21:47:44
196,135,91.4466086461976,672,2.52969449422792,05:29:44
289,513,111.530812890374,631,2.94032074342932,20:47:47
605,186,176.849355817534,650,2.51383193596132,03:43:49
304,483,44.4259208112914,573,2.08138382068968,01:45:37
442,462,40.4944874890277,633,1.83469297086917,06:14:35
345,202,47.5707718465707,594,1.41428265398726,18:42:40
163,118,120.11618286446,587,1.4182531810185,16:53:54
295,596,222.191340763378,579,1.20218614483829,04:42:54
642,355,141.829087994414,580,2.24538310455954,01:05:33
588,144,82.5982677259982,656,1.15805646472531,23:55:00
39,100,231.424471784275,672,2.34459000291313,00:06:01
441,150,102.644364656033,647,1.25732797197169,22:27:49
205,18,68.0177700429065,572,2.13486679407983,17:20:23
196,391,116.609303354498,652,1.28306199089936,23:18:13
115,612,55.1469683129776,660,1.78095936965381,23:53:33
616,239,89.7045780775003,642,1.7446371545086,14:39:20
224,616,220.825598819387,563,2.24721238260796,11:11:51
84,351,186.648250769038,582,2.48579165189957,13:06:49
612,482,60.3650889186281,635,2.62131081311003,12:51:29
152,52,143.058575077346,582,1.34600769981514,18:11:05
565,202,82.0247733600716,596,2.88430891660759,20:03:50
651,119,2.21010105919577,577,2.53560408017541,22:00:20
304,163,182.36620152822,600,2.82613612168562,23:44:33
205,580,48.8215104114617,655,1.43858346288452,17:36:39
608,193,221.016742744446,648,1.65012144456012,21:46:48
613,224,65.8632260316713,569,1.65435366167345,21:25:04
193,149,205.625228982323,577,1.01669236584029,21:40:51
565,124,102.480017159498,663,1.35031265337897,01:03:02
410,52,232.626450016106,662,2.39772906584518,12:31:33
27,205,198.502929336913,628,1.8047172549701,17:33:55
444,124,216.567019759738,612,1.15063410274833,07:12:47
405,188,228.733505261984,664,1.29602475504186,09:16:45
97,297,83.3139160604951,595,1.33369419778107,05:29:13
278,642,130.824903489529,669,2.60427411000749,06:32:28
615,266,64.8967818323187,567,1.02041856165103,20:00:15
553,188,10.7651518336163,624,2.31893450381705,11:40:13
342,625,10.3706658512646,671,2.81648051140314,01:02:34
442,505,203.756794745229,627,2.52883298937222,10:36:28
496,621,28.6494373230607,665,1.43670779079235,09:43:27
326,405,101.702646048743,611,2.96919987021287,12:27:05
620,100,80.3260977589148,618,2.44231462449615,20:06:28
295,586,156.737619384464,667,2.1607189294017,06:17:23
95,248,121.000635445668,568,2.11749380967708,08:15:50
588,604,165.900336129189,612,2.55009297385112,07:21:50
447,570,225.907862109169,617,1.05299642095367,08:57:47
186,289,208.799685063037,585,2.54277687760276,02:45:27
52,186,115.044366147759,602,1.91047018212635,14:45:20
462,512,54.4902259514291,642,2.82017546930302,16:16:47
202,227,167.451712642654,606,2.63943611994139,20:09:41
156,27,145.057175436077,576,1.3931592907228,02:22:41
510,641,170.711149341713,575,2.3980798147554,21:57:04
100,483,34.1706911558853,604,1.17093418303998,03:31:32
405,196,124.556535990084,572,2.71220984541579,18:44:52
351,482,8.84970817844207,561,1.92817001702782,18:18:58
247,52,19.749712011198,585,1.95998772378697,13:39:53
93,580,15.3534687287871,607,2.35564063420846,10:10:33
206,605,156.956565477593,634,1.02538550489905,21:17:52
598,163,182.905435995686,582,1.76833234536169,15:27:33
544,258,115.272446798227,606,2.86918145730973,03:39:36
601,258,6.24822096966303,583,1.37259037501221,10:35:09
568,601,121.77359853059,660,1.50567483747194,22:48:52
616,295,234.738502882848,634,1.2147174039052,12:46:37
270,119,115.05719598223,661,2.20866766208644,04:34:27
54,39,231.137959823709,590,1.48650338211007,12:56:04
510,625,211.955317339845,580,1.43463053292122,13:58:07
156,196,41.9034568627043,642,2.60224588550089,08:51:59
570,571,96.0973326057263,636,1.02386422394173,11:40:06
190,612,163.189721972641,635,2.39737822630565,10:00:03
154,233,89.784592414185,571,1.41263843090593,14:20:41
149,206,71.0556478457471,584,2.90205633509573,20:36:44
18,7,201.305026090401,671,1.85793665515041,04:01:16
248,615,109.553212113781,595,2.90547045855444,21:28:34
362,315,73.8836257207709,593,2.19278274876101,10:18:46
410,588,82.1159846929161,577,2.80952983143656,02:30:52
588,54,188.678927506701,658,1.47815202198371,18:32:14
201,326,142.036887837537,621,2.04244315320805,19:21:08
197,355,21.2890867532929,659,1.3908908191239,09:45:38
340,125,80.9887267884731,571,1.68127820027711,07:27:04
183,342,43.3363669458408,609,1.23081641336974,21:58:52
586,18,217.560225358846,591,2.19136432202298,11:25:58
441,274,233.119158732342,581,2.38774235883095,02:36:33
30,184,189.849245150602,609,2.11750831529068,13:27:23
483,641,89.4307285933508,627,2.38394400980594,12:13:14
598,144,171.580078877123,597,1.24953774069517,07:47:02
295,115,229.680307756983,606,1.58456056132647,17:33:23
7,30,84.9336510849071,581,2.18891431558194,16:45:27
201,63,31.2449351028353,594,1.04520163789822,00:00:17
30,621,229.525473186727,665,2.11226892728034,19:57:36
197,247,16.6686552236831,645,1.30338738072922,17:52:34
491,362,105.975118225964,655,1.34884661305232,06:55:06
258,500,4.88166376192732,655,1.47548703367273,17:08:00
201,280,40.5226304033884,668,2.35255113504977,19:49:11
183,491,209.457466993832,616,1.48277573869871,03:11:37
95,544,184.436335446913,652,1.75690123908719,06:43:25
326,146,17.8573224819337,629,2.61248316095924,02:46:26
653,491,51.5561478677133,650,2.93782712160974,01:17:08
250,289,181.901464383753,562,2.13605460953756,18:10:58
462,512,86.9083178390939,669,1.73675660225128,09:06:37
447,203,217.353801166368,583,2.78861548105399,22:34:03
203,93,90.4035958536573,671,2.39530231186054,01:18:28
441,239,79.0320232166401,604,1.01284032470999,18:54:59
146,315,176.851890033527,612,2.92781253807234,15:19:44
266,379,99.3432737832554,581,1.07438893885286,10:19:41
616,205,1.32355145399925,563,2.50114306195278,15:27:29
623,534,161.94785427109,642,1.61701872779169,07:37:41
39,144,202.983709789046,666,2.57031361051683,16:30:43
599,347,99.5972633916867,580,1.62184827719586,08:40:36
500,258,62.7651528811248,622,1.91508298509579,03:52:49
305,573,91.9267582468015,589,2.92033735445407,14:07:27
315,391,26.4135482418706,597,1.71493484099132,03:05:10
621,424,229.592078860133,622,2.27422023690193,06:55:46
193,203,224.268383856501,617,1.38687961670437,21:30:10
186,496,115.20996137256,671,1.55972884582658,13:42:50
592,18,53.6423096399479,598,2.47879780411619,10:12:02
625,297,98.7456146208074,612,1.96460781152523,21:37:10
491,135,223.220082825454,606,1.47530892599172,13:39:44
496,248,231.819095200369,643,2.18741937027524,10:02:11
