,City of Seller,City of Purchaser,Time of Order origin,Commodity Index,Amount of Commodity,Whether Emergency? (Yes:1 No:0),Time of Order,Transport,Vehicle
0,1,5,1:37:32,114,38,0,97.53333333,Truck,-1.0
1,1,5,19:26:40,105,30,0,1166.666667,Truck,-1.0
2,1,6,1:53:29,30,6,1,113.48333329999998,Truck,-1.0
3,1,7,19:18:52,67,23,0,1158.866667,Truck,1.0
4,1,10,3:12:21,39,15,0,192.35,Truck,-1.0
5,1,10,7:14:03,109,22,1,434.05,Truck,-1.0
6,1,12,9:24:02,45,33,0,564.0333333,Truck,3.0
7,1,13,0:28:18,85,17,0,28.3,Truck,-1.0
8,1,17,19:57:43,15,38,0,1197.716667,Truck,-1.0
9,1,18,1:56:57,89,43,1,116.95,,
10,1,19,8:22:56,67,19,0,502.9333333000001,,
11,1,19,23:16:15,103,28,0,1396.25,,
12,1,23,8:39:27,12,7,1,519.45,,
13,1,28,10:51:15,48,12,1,651.25,,
14,1,30,10:22:59,1,18,0,622.9833332999999,,
15,1,32,6:24:11,31,7,0,384.1833333,,
16,1,38,12:57:25,35,7,0,777.4166667000001,,
17,1,40,7:50:13,47,22,1,470.21666669999996,,
18,1,40,13:45:07,60,32,0,825.1166667,,
19,1,44,12:15:42,43,37,0,735.7,,
20,1,50,11:33:38,71,25,0,693.6333333,,
21,1,52,14:49:34,27,27,0,889.5666667000002,,
22,1,53,8:07:06,34,21,0,487.1,,
23,1,57,3:27:18,58,1,0,207.3,,
24,1,60,7:36:46,47,6,0,456.7666666999999,,
25,1,61,12:37:11,112,31,0,757.1833333,,
26,1,62,3:02:49,84,35,0,182.81666669999998,,
27,1,62,6:05:31,98,25,0,365.5166667,,
28,1,68,1:41:11,51,43,0,101.1833333,,
29,1,68,9:57:47,61,33,0,597.7833333,,
30,1,69,19:41:01,56,11,1,1181.016667,,
31,1,70,23:34:53,50,30,0,1414.883333,,
32,1,72,3:45:11,82,48,0,225.18333330000002,,
33,1,73,20:13:00,59,14,0,1213.0,,
34,1,75,4:33:16,64,4,1,273.2666667,,
35,1,76,18:40:27,21,49,0,1120.45,,
36,1,79,3:36:22,94,44,0,216.3666667,,
37,1,79,11:48:15,103,17,0,708.25,,
38,1,81,0:17:12,85,34,0,17.2,,
39,1,81,16:57:11,38,12,0,1017.1833330000001,,
40,1,83,1:42:48,19,44,0,102.8,,
41,1,84,17:22:04,97,41,0,1042.066667,,
42,1,84,21:09:45,6,17,0,1269.75,,
43,1,84,22:49:10,71,34,0,1369.166667,,
44,1,87,16:50:52,108,30,0,1010.866667,,
45,1,91,9:20:16,22,47,0,560.2666667000001,,
46,1,92,12:03:54,58,41,0,723.9,,
47,1,93,12:58:20,94,3,1,778.3333332999999,,
48,1,94,20:49:48,26,41,1,1249.8,,
49,1,94,22:47:03,107,14,0,1367.05,,
50,1,96,17:16:17,49,9,0,1036.283333,,
51,1,100,9:58:40,1,9,0,598.6666667000001,,
52,1,100,22:52:18,15,1,0,1372.3,,
53,1,101,9:28:10,30,48,0,568.1666667000001,,
54,1,104,18:55:25,75,23,1,1135.416667,,
55,1,105,13:21:41,105,41,0,801.6833333,,
56,1,107,22:53:32,19,31,0,1373.533333,,
57,1,109,8:22:10,103,8,1,502.16666669999995,,
58,1,109,19:22:24,112,11,0,1162.4,,
59,1,112,9:47:03,110,18,0,587.05,,
60,1,114,1:06:12,80,31,0,66.2,,
61,1,114,16:25:46,23,9,1,985.7666667000001,,
62,1,121,5:16:55,88,48,1,316.9166667,,
63,1,121,12:19:10,109,33,0,739.1666667000001,,
64,1,122,9:42:09,92,39,0,582.15,,
65,1,123,19:01:02,122,5,0,1141.033333,,
66,1,127,12:50:50,123,11,0,770.8333332999999,,
67,1,128,19:04:03,5,45,0,1144.05,,
68,1,130,0:22:40,35,26,0,22.66666667,,
69,1,137,21:29:06,119,17,1,1289.1,,
70,1,144,17:16:21,75,46,0,1036.35,,
71,1,147,14:00:53,87,49,0,840.8833332999999,,
72,1,147,15:38:04,106,38,0,938.0666667000002,,
73,1,148,15:45:21,81,17,0,945.35,,
74,1,148,22:31:22,39,12,0,1351.366667,,
75,1,149,15:30:44,56,10,0,930.7333332999999,,
76,1,150,12:39:54,73,46,1,759.9,,
77,1,151,18:27:23,96,18,0,1107.383333,,
78,1,152,17:56:38,18,1,1,1076.633333,,
79,1,154,14:21:11,4,24,1,861.1833332999998,,
80,1,155,22:25:33,81,45,0,1345.55,,
81,1,156,10:42:50,95,7,1,642.8333332999999,,
82,1,159,16:56:54,17,3,0,1016.9,,
83,1,160,5:01:40,28,9,1,301.6666667,,
84,1,161,1:56:37,41,4,0,116.61666670000001,,
85,1,164,15:27:43,72,8,1,927.7166667000001,,
86,1,164,22:18:13,32,20,0,1338.216667,,
87,1,165,10:14:49,1,12,1,614.8166667,,
88,1,167,13:58:45,8,8,0,838.75,,
89,1,167,22:47:50,51,2,0,1367.833333,,
90,1,169,12:57:47,117,10,0,777.7833333,,
91,1,170,1:47:53,114,46,0,107.88333329999999,,
92,1,170,7:11:37,40,28,0,431.61666669999994,,
93,1,171,8:29:31,75,38,0,509.5166666999999,,
94,1,171,12:36:57,52,11,0,756.95,,
95,1,172,18:24:01,93,50,0,1104.016667,,
96,1,172,23:59:54,34,1,1,1439.9,,
97,1,174,22:19:16,123,34,0,1339.266667,,
98,1,175,12:04:24,67,38,0,724.4,,
99,1,176,10:39:39,48,28,0,639.65,,
100,1,176,11:23:27,60,6,0,683.45,,
101,1,177,5:29:43,12,11,0,329.71666669999996,,
102,1,178,17:40:25,44,2,0,1060.416667,,
103,1,180,21:05:46,77,50,1,1265.766667,,
104,1,181,13:31:05,16,44,0,811.0833332999999,,
105,1,183,1:39:35,89,41,0,99.58333333,,
106,1,183,12:36:29,98,23,1,756.4833332999999,,
107,1,183,18:59:59,6,20,1,1139.983333,,
108,1,184,2:35:00,120,48,0,155.0,,
109,1,184,19:27:26,46,14,0,1167.433333,,
110,1,185,10:08:33,86,31,0,608.55,,
111,1,185,12:19:20,61,16,0,739.3333332999999,,
112,1,186,23:11:03,66,50,0,1391.05,,
113,1,191,20:07:35,119,17,0,1207.583333,,
114,1,192,15:48:07,13,46,0,948.1166667000001,,
115,1,193,13:22:47,35,43,0,802.7833333,,
116,1,193,14:27:17,62,36,0,867.2833332999999,,
117,1,195,12:51:24,22,17,0,771.4,,
118,1,196,9:12:29,34,1,0,552.4833332999999,,
119,1,196,21:45:18,38,40,1,1305.3,,
120,1,199,10:41:35,94,46,0,641.5833332999999,,
121,1,200,10:51:16,55,2,0,651.2666667000001,,
